,date,l_ipn,r_asn,f,category
20366,2006-09-28,7,3428,2,0
20367,2006-09-28,7,3561,3,0
20368,2006-09-28,7,3701,2,0
20385,2006-09-28,8,25,13,1
20386,2006-09-28,8,109,1,0
20387,2006-09-28,8,559,2,0
20388,2006-09-28,8,1239,1,0
20389,2006-09-28,8,1668,9,1
20390,2006-09-28,8,2152,3,0
20391,2006-09-28,8,4267,3,0
20409,2006-09-28,9,102,106,1
20410,2006-09-28,9,209,3,0
20411,2006-09-28,9,1668,7,0
20412,2006-09-28,9,2152,32,1
20413,2006-09-28,9,3356,2,0
20414,2006-09-28,9,3561,89,1
20415,2006-09-28,9,4264,1,0
20437,2006-09-29,0,209,1,0
20438,2006-09-29,0,701,11,1
20439,2006-09-29,0,1659,1,0
20440,2006-09-29,0,3269,1,0
20441,2006-09-29,0,3320,1,0
20442,2006-09-29,0,3549,1,0
20443,2006-09-29,0,3561,35,1
20444,2006-09-29,0,3671,4,0
20445,2006-09-29,0,4670,1,0
20446,2006-09-29,0,4713,27,1
20480,2006-09-29,2,159,4,0
20481,2006-09-29,2,1312,89,1
20482,2006-09-29,2,1659,1,0
20483,2006-09-29,2,2637,2,0
20484,2006-09-29,2,3561,7,0
20485,2006-09-29,2,4713,8,1
20486,2006-09-29,2,4983,48,1
20510,2006-09-29,4,559,85,1
20511,2006-09-29,4,2715,79,1
20512,2006-09-29,4,3209,82,1
20513,2006-09-29,4,4323,1,0
20514,2006-09-29,4,4713,12,1
20515,2006-09-29,4,4812,1,0
20530,2006-09-29,7,71,2,0
20531,2006-09-29,7,109,7,0
20532,2006-09-29,7,209,1,0
20533,2006-09-29,7,2152,17,1
20534,2006-09-29,7,3428,10,1
20535,2006-09-29,7,3561,2,0
20536,2006-09-29,7,3701,2,0
20537,2006-09-29,7,4323,4,0
20553,2006-09-29,8,109,7,0
20554,2006-09-29,8,226,36,1
20555,2006-09-29,8,701,3,0
20556,2006-09-29,8,786,3,0
20557,2006-09-29,8,1668,16,1
20558,2006-09-29,8,2152,7,0
20559,2006-09-29,8,3356,14,1
20560,2006-09-29,8,3527,3,0
20561,2006-09-29,8,3701,1,0
20562,2006-09-29,8,4267,16,1
20563,2006-09-29,8,4713,2290,1
20591,2006-09-30,0,91,307,1
20592,2006-09-30,0,558,1,0
20593,2006-09-30,0,701,3,0
20594,2006-09-30,0,1659,612,1
20595,2006-09-30,0,3215,1,0
20596,2006-09-30,0,3269,2,0
20597,2006-09-30,0,3561,19,1
20598,2006-09-30,0,3671,16,1
20599,2006-09-30,0,4515,1,0
20600,2006-09-30,0,4621,1,0
20601,2006-09-30,0,4755,95,1
20602,2006-09-30,0,4837,7,0
20629,2006-09-30,2,16,1,0
20630,2006-09-30,2,47,1,0
20631,2006-09-30,2,91,307,1
20632,2006-09-30,2,174,2,0
20633,2006-09-30,2,209,3,0
20634,2006-09-30,2,1312,88,1
20635,2006-09-30,2,1659,1829,1
20636,2006-09-30,2,2152,16,1
20637,2006-09-30,2,2856,1,0
20638,2006-09-30,2,3243,1,0
20639,2006-09-30,2,3561,57,1
20640,2006-09-30,2,4264,1,0
20641,2006-09-30,2,4323,8,1
20642,2006-09-30,2,4837,2,0
20643,2006-09-30,2,4983,38,1
20691,2006-09-30,4,91,307,1
20692,2006-09-30,4,559,83,1
20693,2006-09-30,4,1659,1168,1
20694,2006-09-30,4,2715,80,1
20695,2006-09-30,4,3209,84,1
20696,2006-09-30,4,4837,3,0
20710,2006-09-30,7,2152,3,0
20711,2006-09-30,7,4766,2,0
20716,2006-09-30,8,3,2,0
20717,2006-09-30,8,8,5,0
20718,2006-09-30,8,9,1,0
20719,2006-09-30,8,14,3,0
20720,2006-09-30,8,26,7,0
20721,2006-09-30,8,49,1,0
20722,2006-09-30,8,55,2,0
20723,2006-09-30,8,209,2,0
20724,2006-09-30,8,299,3,0
20725,2006-09-30,8,701,2,0
20726,2006-09-30,8,714,11,1
20727,2006-09-30,8,786,2,0
20728,2006-09-30,8,852,3,0
20729,2006-09-30,8,1221,4,0
20730,2006-09-30,8,1668,11,1
20731,2006-09-30,8,1742,6,0
20732,2006-09-30,8,2152,47,1
20733,2006-09-30,8,2907,3,0
20734,2006-09-30,8,2914,24,1
20735,2006-09-30,8,3557,2,0
20736,2006-09-30,8,3561,17,1
20737,2006-09-30,8,3701,1,0
20738,2006-09-30,8,4264,1,0
20739,2006-09-30,8,4265,14,1
20740,2006-09-30,8,4267,4,0
20741,2006-09-30,8,4513,22,1
20742,2006-09-30,8,4565,1,0
20743,2006-09-30,8,4713,363,1
20744,2006-09-30,8,4766,1,0
20800,2006-09-30,9,2152,1,0
8,2006-07-01,0,5617,2,0
9,2006-07-01,0,6478,1,0
10,2006-07-01,0,6713,1,0
11,2006-07-01,0,7132,1,0
12,2006-07-01,0,9105,1,0
42,2006-07-01,1,6713,7,1
43,2006-07-01,1,6830,1,0
44,2006-07-01,1,8282,21,1
45,2006-07-01,1,9768,1,0
58,2006-07-01,2,5617,3,0
59,2006-07-01,2,5661,6,1
60,2006-07-01,2,7018,933,1
61,2006-07-01,2,7132,3,0
62,2006-07-01,2,7377,198,1
83,2006-07-01,4,8282,21,1
93,2006-07-01,5,8070,6,1
94,2006-07-01,5,8075,4,0
119,2006-07-01,7,6432,10,1
120,2006-07-01,7,7805,2,0
121,2006-07-01,7,7859,2,0
122,2006-07-01,7,8070,5,0
123,2006-07-01,7,9156,2,0
161,2006-07-01,8,5653,16,1
162,2006-07-01,8,5662,13,1
163,2006-07-01,8,6140,4,0
164,2006-07-01,8,6453,4,0
165,2006-07-01,8,6939,4,0
166,2006-07-01,8,7805,1,0
167,2006-07-01,8,8001,4,0
168,2006-07-01,8,8070,6,1
169,2006-07-01,8,8075,7,1
170,2006-07-01,8,8468,6,1
193,2006-07-01,9,5779,104,1
194,2006-07-01,9,6432,5,0
195,2006-07-01,9,6453,7,1
196,2006-07-01,9,7224,5,0
197,2006-07-01,9,7743,32,1
198,2006-07-01,9,8070,6,1
199,2006-07-01,9,8075,2,0
200,2006-07-01,9,8912,5,0
231,2006-07-02,0,5462,1,0
232,2006-07-02,0,9038,1,0
233,2006-07-02,0,9708,1,0
268,2006-07-02,1,5432,1,0
269,2006-07-02,1,6478,2,0
270,2006-07-02,1,7132,1,0
299,2006-07-02,2,7018,936,1
300,2006-07-02,2,7132,4,0
301,2006-07-02,2,7377,83,1
332,2006-07-02,5,8070,5,0
333,2006-07-02,5,8075,5,0
353,2006-07-02,7,8070,2,0
354,2006-07-02,7,8075,2,0
360,2006-07-02,8,8075,2,0
363,2006-07-02,9,7132,2,0
364,2006-07-02,9,8070,3,0
378,2006-07-03,0,5384,1,0
379,2006-07-03,0,5486,1,0
380,2006-07-03,0,6147,1,0
381,2006-07-03,0,6432,1,0
382,2006-07-03,0,6724,1,0
383,2006-07-03,0,7029,1,0
384,2006-07-03,0,8151,1,0
385,2006-07-03,0,8167,1,0
386,2006-07-03,0,9121,2,0
387,2006-07-03,0,9394,1,0
388,2006-07-03,0,9811,1,0
416,2006-07-03,1,5617,1,0
417,2006-07-03,1,5668,2,0
418,2006-07-03,1,6388,1,0
419,2006-07-03,1,6461,6,1
420,2006-07-03,1,6478,1,0
421,2006-07-03,1,7015,1,0
422,2006-07-03,1,7132,5,0
423,2006-07-03,1,7303,1,0
424,2006-07-03,1,7718,1,0
425,2006-07-03,1,9271,2,0
426,2006-07-03,1,9394,1,0
427,2006-07-03,1,9808,1,0
428,2006-07-03,1,9908,1,0
429,2006-07-03,1,9929,2,0
459,2006-07-03,2,5617,10,1
460,2006-07-03,2,6106,1,0
461,2006-07-03,2,7018,933,1
462,2006-07-03,2,7065,1,0
463,2006-07-03,2,7132,5,0
464,2006-07-03,2,7377,94,1
465,2006-07-03,2,9316,1,0
466,2006-07-03,2,9394,1,0
480,2006-07-03,3,7132,1,0
481,2006-07-03,3,9271,1,0
482,2006-07-03,3,9394,1,0
489,2006-07-03,4,7132,15,1
490,2006-07-03,4,9394,1,0
491,2006-07-03,4,9803,2,0
505,2006-07-03,5,6432,4,0
506,2006-07-03,5,7132,2,0
507,2006-07-03,5,8070,6,1
508,2006-07-03,5,8075,6,1
509,2006-07-03,5,9156,1,0
510,2006-07-03,5,9271,2,0
511,2006-07-03,5,9316,1,0
512,2006-07-03,5,9394,1,0
532,2006-07-03,6,7132,2,0
533,2006-07-03,6,9271,2,0
534,2006-07-03,6,9394,1,0
535,2006-07-03,6,9808,1,0
553,2006-07-03,7,6102,2,0
554,2006-07-03,7,6432,8,1
555,2006-07-03,7,6461,1,0
556,2006-07-03,7,7018,1,0
557,2006-07-03,7,7132,2,0
558,2006-07-03,7,8070,1,0
559,2006-07-03,7,8075,2,0
560,2006-07-03,7,8121,3,0
561,2006-07-03,7,8560,1,0
562,2006-07-03,7,9156,11,1
593,2006-07-03,8,6307,10,1
594,2006-07-03,8,6334,20,1
595,2006-07-03,8,7132,22,1
596,2006-07-03,8,7258,3,0
597,2006-07-03,8,8070,2,0
621,2006-07-03,9,6307,11,1
622,2006-07-03,9,6334,3,0
623,2006-07-03,9,6432,3,0
624,2006-07-03,9,6453,10,1
625,2006-07-03,9,6939,3,0
626,2006-07-03,9,7018,6,1
627,2006-07-03,9,7224,4,0
628,2006-07-03,9,7743,23,1
629,2006-07-03,9,7912,3,0
630,2006-07-03,9,8002,1,0
631,2006-07-03,9,8070,3,0
662,2006-07-04,0,5760,1,0
663,2006-07-04,0,6724,1,0
664,2006-07-04,0,7018,1,0
665,2006-07-04,0,7029,2,0
666,2006-07-04,0,7132,1,0
667,2006-07-04,0,8167,1,0
668,2006-07-04,0,9121,1,0
669,2006-07-04,0,9800,65,1
709,2006-07-04,1,5379,3,0
710,2006-07-04,1,6713,5,0
711,2006-07-04,1,8075,2,0
712,2006-07-04,1,8708,1,0
713,2006-07-04,1,9269,1,0
714,2006-07-04,1,9271,2,0
715,2006-07-04,1,9800,1,0
716,2006-07-04,1,9808,1,0
717,2006-07-04,1,9812,1,0
718,2006-07-04,1,9929,1,0
739,2006-07-04,2,5617,411,1
740,2006-07-04,2,7018,935,1
741,2006-07-04,2,7065,1,0
742,2006-07-04,2,7132,3,0
743,2006-07-04,2,7377,73,1
744,2006-07-04,2,9800,1,0
757,2006-07-04,3,9271,1,0
758,2006-07-04,3,9800,2,0
759,2006-07-04,3,9812,1,0
765,2006-07-04,4,7132,15,1
766,2006-07-04,4,9800,1,0
783,2006-07-04,5,8070,4,0
784,2006-07-04,5,8075,5,0
785,2006-07-04,5,9271,2,0
786,2006-07-04,5,9800,2,0
787,2006-07-04,5,9812,1,0
800,2006-07-04,6,9271,4,0
801,2006-07-04,6,9800,2,0
802,2006-07-04,6,9808,1,0
803,2006-07-04,6,9812,1,0
804,2006-07-04,6,9929,1,0
816,2006-07-04,7,6432,9,1
817,2006-07-04,7,7018,3,0
818,2006-07-04,7,8070,3,0
819,2006-07-04,7,9156,1,0
820,2006-07-04,7,9271,4,0
851,2006-07-04,8,5662,41,1
852,2006-07-04,8,5719,9,1
853,2006-07-04,8,6140,1,0
854,2006-07-04,8,6453,1,0
855,2006-07-04,8,7377,7,1
856,2006-07-04,8,8001,1,0
857,2006-07-04,8,8070,4,0
858,2006-07-04,8,8075,3,0
859,2006-07-04,8,9271,1,0
877,2006-07-04,9,7132,2,0
878,2006-07-04,9,8070,3,0
896,2006-07-05,0,5617,1,0
897,2006-07-05,0,5778,1,0
898,2006-07-05,0,6432,2,0
899,2006-07-05,0,6461,1,0
900,2006-07-05,0,6471,1,0
901,2006-07-05,0,6478,2,0
902,2006-07-05,0,6724,1,0
903,2006-07-05,0,6939,2,0
904,2006-07-05,0,8708,1,0
905,2006-07-05,0,9121,1,0
936,2006-07-05,1,6327,1,0
937,2006-07-05,1,6478,1,0
938,2006-07-05,1,7543,4,0
939,2006-07-05,1,8342,5,0
940,2006-07-05,1,9304,1,0
941,2006-07-05,1,9768,1,0
942,2006-07-05,1,9800,570,1
943,2006-07-05,1,9808,1,0
970,2006-07-05,2,5617,12,1
971,2006-07-05,2,7018,921,1
972,2006-07-05,2,7065,2,0
973,2006-07-05,2,7132,3,0
974,2006-07-05,2,7377,78,1
975,2006-07-05,2,9506,18,1
976,2006-07-05,2,9800,734,1
989,2006-07-05,3,9812,1,0
998,2006-07-05,4,7132,2,0
999,2006-07-05,4,9800,747,1
1015,2006-07-05,5,8070,3,0
1016,2006-07-05,5,8075,6,1
1028,2006-07-05,6,9808,1,0
1040,2006-07-05,7,6408,39,1
1041,2006-07-05,7,8070,3,0
1042,2006-07-05,7,8560,1,0
1043,2006-07-05,7,9156,2,0
1077,2006-07-05,8,5662,10,1
1078,2006-07-05,8,6459,55,1
1079,2006-07-05,8,6510,5,0
1080,2006-07-05,8,7859,3,0
1081,2006-07-05,8,8001,3,0
1082,2006-07-05,8,8070,2,0
1083,2006-07-05,8,8075,2,0
1084,2006-07-05,8,9457,1,0
1085,2006-07-05,8,9800,2291,1
1115,2006-07-05,9,6307,12,1
1116,2006-07-05,9,6318,33,1
1117,2006-07-05,9,6432,16,1
1118,2006-07-05,9,6453,8,1
1119,2006-07-05,9,6939,3,0
1120,2006-07-05,9,7132,7,1
1121,2006-07-05,9,7342,3,0
1122,2006-07-05,9,7743,14,1
1123,2006-07-05,9,7912,3,0
1124,2006-07-05,9,8002,1,0
1125,2006-07-05,9,8070,3,0
1126,2006-07-05,9,8075,5,0
1127,2006-07-05,9,8182,17,1
1175,2006-07-06,0,6342,36,1
1176,2006-07-06,0,6354,1,0
1177,2006-07-06,0,6400,1,0
1178,2006-07-06,0,6432,4,0
1179,2006-07-06,0,6724,1,0
1180,2006-07-06,0,6939,1,0
1181,2006-07-06,0,6993,2,0
1182,2006-07-06,0,7132,1,0
1183,2006-07-06,0,7393,1,0
1184,2006-07-06,0,7552,1,0
1185,2006-07-06,0,8002,1,0
1186,2006-07-06,0,8151,1,0
1187,2006-07-06,0,8400,3,0
1188,2006-07-06,0,8560,1,0
1189,2006-07-06,0,9121,1,0
1190,2006-07-06,0,9394,1,0
1221,2006-07-06,1,5078,2,0
1222,2006-07-06,1,5400,1,0
1223,2006-07-06,1,5617,1,0
1224,2006-07-06,1,5663,1,0
1225,2006-07-06,1,6128,8,1
1226,2006-07-06,1,7132,2,0
1227,2006-07-06,1,8342,3,0
1228,2006-07-06,1,8376,3,0
1229,2006-07-06,1,8400,71,1
1230,2006-07-06,1,9318,1,0
1231,2006-07-06,1,9416,2,0
1257,2006-07-06,2,5617,11,1
1258,2006-07-06,2,6106,1,0
1259,2006-07-06,2,6342,36,1
1260,2006-07-06,2,6364,3,0
1261,2006-07-06,2,6478,12,1
1262,2006-07-06,2,7018,931,1
1263,2006-07-06,2,7065,1,0
1264,2006-07-06,2,7132,3,0
1265,2006-07-06,2,7377,77,1
1266,2006-07-06,2,9506,22,1
1274,2006-07-06,3,5400,1,0
1275,2006-07-06,3,6342,2,0
1284,2006-07-06,4,7132,15,1
1285,2006-07-06,4,8400,70,1
1298,2006-07-06,5,8070,5,0
1299,2006-07-06,5,8075,5,0
1311,2006-07-06,6,8400,1,0
1326,2006-07-06,7,5067,10,1
1327,2006-07-06,7,6432,9,1
1328,2006-07-06,7,8070,6,1
1329,2006-07-06,7,8560,2,0
1330,2006-07-06,7,9156,11,1
1361,2006-07-06,8,5617,1,0
1362,2006-07-06,8,5662,27,1
1363,2006-07-06,8,6453,4,0
1364,2006-07-06,8,8070,2,0
1365,2006-07-06,8,9457,1,0
1385,2006-07-06,9,5779,62,1
1386,2006-07-06,9,6130,2,0
1387,2006-07-06,9,6432,23,1
1388,2006-07-06,9,6939,1,0
1389,2006-07-06,9,7224,9,1
1390,2006-07-06,9,7324,1,0
1391,2006-07-06,9,7349,1,0
1392,2006-07-06,9,7859,4,0
1393,2006-07-06,9,8070,7,1
1431,2006-07-07,0,5617,2,0
1432,2006-07-07,0,6327,1,0
1433,2006-07-07,0,6432,1,0
1434,2006-07-07,0,6496,2,0
1435,2006-07-07,0,6740,1,0
1436,2006-07-07,0,6939,1,0
1437,2006-07-07,0,7132,1,0
1438,2006-07-07,0,7643,1,0
1439,2006-07-07,0,7738,1,0
1440,2006-07-07,0,8151,1,0
1441,2006-07-07,0,8732,1,0
1442,2006-07-07,0,9121,1,0
1443,2006-07-07,0,9304,1,0
1444,2006-07-07,0,9808,1,0
1478,2006-07-07,1,6461,9,1
1479,2006-07-07,1,6478,2,0
1480,2006-07-07,1,7132,2,0
1481,2006-07-07,1,8376,2,0
1482,2006-07-07,1,9318,1,0
1483,2006-07-07,1,9416,1,0
1503,2006-07-07,2,6432,4,0
1504,2006-07-07,2,6478,15,1
1505,2006-07-07,2,7018,924,1
1506,2006-07-07,2,7132,5,0
1507,2006-07-07,2,7377,79,1
1508,2006-07-07,2,8560,1,0
1509,2006-07-07,2,9506,58,1
1525,2006-07-07,3,6478,1,0
1526,2006-07-07,3,7132,1,0
1527,2006-07-07,3,9318,3,0
1530,2006-07-07,4,7132,173,1
1539,2006-07-07,5,6478,4,0
1540,2006-07-07,5,7132,1,0
1541,2006-07-07,5,8070,6,1
1542,2006-07-07,5,8075,5,0
1543,2006-07-07,5,9318,3,0
1549,2006-07-07,6,6478,6,1
1550,2006-07-07,6,7132,2,0
1551,2006-07-07,6,8342,1,0
1552,2006-07-07,6,9318,6,1
1561,2006-07-07,7,6395,2,0
1562,2006-07-07,7,6478,4,0
1563,2006-07-07,7,8070,6,1
1564,2006-07-07,7,8075,3,0
1565,2006-07-07,7,8560,1,0
1566,2006-07-07,7,9156,10,1
1589,2006-07-07,8,6478,1,0
1590,2006-07-07,8,8070,2,0
1602,2006-07-07,9,5779,243,1
1603,2006-07-07,9,6318,7,1
1604,2006-07-07,9,6334,3,0
1605,2006-07-07,9,6432,11,1
1606,2006-07-07,9,7018,28,1
1607,2006-07-07,9,8070,3,0
1608,2006-07-07,9,8075,2,0
1635,2006-07-08,0,5617,130,1
1636,2006-07-08,0,6327,1,0
1637,2006-07-08,0,7132,3,0
1638,2006-07-08,0,7602,1,0
1639,2006-07-08,0,8708,1,0
1640,2006-07-08,0,9318,3,0
1667,2006-07-08,1,5617,53,1
1668,2006-07-08,1,7015,5,0
1669,2006-07-08,1,8708,2,0
1670,2006-07-08,1,9768,1,0
1671,2006-07-08,1,9919,2,0
1693,2006-07-08,2,5617,82,1
1694,2006-07-08,2,6364,3,0
1695,2006-07-08,2,6478,9,1
1696,2006-07-08,2,7018,932,1
1697,2006-07-08,2,7132,3,0
1698,2006-07-08,2,7377,80,1
1712,2006-07-08,3,5078,2,0
1713,2006-07-08,3,5617,1,0
1722,2006-07-08,4,7132,2,0
1739,2006-07-08,5,5617,1,0
1740,2006-07-08,5,8070,5,0
1741,2006-07-08,5,8075,4,0
1751,2006-07-08,6,5078,1,0
1752,2006-07-08,6,5617,1,0
1762,2006-07-08,7,6432,32,1
1763,2006-07-08,7,6453,6,1
1764,2006-07-08,7,7018,53,1
1765,2006-07-08,7,7105,2,0
1766,2006-07-08,7,7342,2,0
1767,2006-07-08,7,8070,2,0
1768,2006-07-08,7,8075,2,0
1769,2006-07-08,7,9156,9,1
1803,2006-07-08,8,5662,11,1
1804,2006-07-08,8,6327,3,0
1805,2006-07-08,8,6461,1,0
1806,2006-07-08,8,7065,3,0
1807,2006-07-08,8,7472,6,1
1808,2006-07-08,8,8075,2,0
1809,2006-07-08,8,9457,1,0
1829,2006-07-08,9,5779,188,1
1830,2006-07-08,9,6432,2,0
1831,2006-07-08,9,7132,7,1
1832,2006-07-08,9,8070,5,0
1833,2006-07-08,9,8176,6,1
1853,2006-07-09,0,5089,1,0
1854,2006-07-09,0,5462,1,0
1855,2006-07-09,0,6128,1,0
1856,2006-07-09,0,7021,1,0
1857,2006-07-09,0,7029,1,0
1858,2006-07-09,0,7738,1,0
1859,2006-07-09,0,8167,1,0
1860,2006-07-09,0,9304,1,0
1861,2006-07-09,0,9916,1,0
1883,2006-07-09,1,6327,1,0
1884,2006-07-09,1,6461,36,1
1885,2006-07-09,1,8881,1,0
1886,2006-07-09,1,9318,2,0
1887,2006-07-09,1,9908,1,0
1888,2006-07-09,1,9916,1,0
1908,2006-07-09,2,5617,30,1
1909,2006-07-09,2,5661,3,0
1910,2006-07-09,2,6478,8,1
1911,2006-07-09,2,7018,936,1
1912,2006-07-09,2,7132,3,0
1913,2006-07-09,2,7377,197,1
1914,2006-07-09,2,9506,735,1
1915,2006-07-09,2,9916,1,0
1926,2006-07-09,3,8881,2,0
1927,2006-07-09,3,9916,1,0
1933,2006-07-09,4,7132,3,0
1934,2006-07-09,4,9916,1,0
1948,2006-07-09,5,8070,5,0
1949,2006-07-09,5,8075,5,0
1950,2006-07-09,5,8881,2,0
1951,2006-07-09,5,9916,1,0
1964,2006-07-09,6,8881,2,0
1965,2006-07-09,6,9916,1,0
1971,2006-07-09,7,8070,3,0
1972,2006-07-09,7,9156,1,0
1979,2006-07-09,8,7132,1,0
1980,2006-07-09,8,8070,2,0
1983,2006-07-09,9,8070,1,0
1984,2006-07-09,9,8075,2,0
1997,2006-07-10,0,5466,1,0
1998,2006-07-10,0,6128,1,0
1999,2006-07-10,0,6197,1,0
2000,2006-07-10,0,6432,1,0
2001,2006-07-10,0,6539,1,0
2002,2006-07-10,0,6724,1,0
2003,2006-07-10,0,6939,1,0
2004,2006-07-10,0,6993,1,0
2005,2006-07-10,0,7265,1,0
2006,2006-07-10,0,7643,1,0
2007,2006-07-10,0,7738,2,0
2008,2006-07-10,0,8167,1,0
2009,2006-07-10,0,8560,1,0
2010,2006-07-10,0,8708,1,0
2011,2006-07-10,0,9038,1,0
2012,2006-07-10,0,9121,4,0
2013,2006-07-10,0,9143,1,0
2014,2006-07-10,0,9318,137,1
2046,2006-07-10,1,6079,9,1
2047,2006-07-10,1,6461,45,1
2048,2006-07-10,1,7015,1,0
2049,2006-07-10,1,7788,2,0
2050,2006-07-10,1,8708,3,0
2051,2006-07-10,1,9318,137,1
2074,2006-07-10,2,5617,8,1
2075,2006-07-10,2,6079,1,0
2076,2006-07-10,2,6461,1,0
2077,2006-07-10,2,6478,3,0
2078,2006-07-10,2,7018,921,1
2079,2006-07-10,2,7132,3,0
2080,2006-07-10,2,7377,127,1
2081,2006-07-10,2,8708,1,0
2082,2006-07-10,2,9318,2,0
2083,2006-07-10,2,9506,79,1
2097,2006-07-10,3,6079,10,1
2098,2006-07-10,3,7788,2,0
2099,2006-07-10,3,8708,1,0
2106,2006-07-10,4,6079,2,0
2107,2006-07-10,4,7132,4,0
2108,2006-07-10,4,8708,1,0
2109,2006-07-10,4,9318,136,1
2120,2006-07-10,5,6079,16,1
2121,2006-07-10,5,7132,1,0
2122,2006-07-10,5,7788,1,0
2123,2006-07-10,5,8070,6,1
2124,2006-07-10,5,8075,3,0
2125,2006-07-10,5,8708,1,0
2126,2006-07-10,5,9394,1,0
2137,2006-07-10,6,6079,2,0
2138,2006-07-10,6,7788,2,0
2139,2006-07-10,6,8708,3,0
2140,2006-07-10,6,9394,1,0
2141,2006-07-10,6,9803,1,0
2153,2006-07-10,7,8070,5,0
2154,2006-07-10,7,9156,3,0
2162,2006-07-10,8,6079,2,0
2163,2006-07-10,8,8070,2,0
2164,2006-07-10,8,8560,1,0
2165,2006-07-10,8,9318,136,1
2166,2006-07-10,8,9457,1,0
2186,2006-07-10,9,6318,5,0
2187,2006-07-10,9,6334,59,1
2188,2006-07-10,9,6432,118,1
2189,2006-07-10,9,6453,17,1
2190,2006-07-10,9,7091,3,0
2191,2006-07-10,9,7132,1,0
2192,2006-07-10,9,7224,7,1
2193,2006-07-10,9,7252,1,0
2194,2006-07-10,9,7743,18,1
2195,2006-07-10,9,7912,6,1
2196,2006-07-10,9,8070,2,0
2197,2006-07-10,9,8075,2,0
2198,2006-07-10,9,8182,16,1
2248,2006-07-11,0,5462,2,0
2249,2006-07-11,0,5739,1,0
2250,2006-07-11,0,6327,1,0
2251,2006-07-11,0,6432,1,0
2252,2006-07-11,0,6461,1,0
2253,2006-07-11,0,6478,1,0
2254,2006-07-11,0,6724,1,0
2255,2006-07-11,0,6939,1,0
2256,2006-07-11,0,6993,1,0
2257,2006-07-11,0,7643,1,0
2258,2006-07-11,0,8151,1,0
2259,2006-07-11,0,8167,1,0
2260,2006-07-11,0,8737,1,0
2261,2006-07-11,0,9143,1,0
2262,2006-07-11,0,9824,1,0
2263,2006-07-11,0,9829,1,0
2297,2006-07-11,1,6461,12,1
2298,2006-07-11,1,8075,3,0
2299,2006-07-11,1,9318,1,0
2300,2006-07-11,1,9803,2,0
2301,2006-07-11,1,9924,1,0
2302,2006-07-11,1,9931,1,0
2322,2006-07-11,2,6478,3,0
2323,2006-07-11,2,7132,14,1
2324,2006-07-11,2,7377,236,1
2325,2006-07-11,2,8001,1,0
2326,2006-07-11,2,9506,79,1
2349,2006-07-11,4,7132,2,0
2364,2006-07-11,5,7132,4,0
2365,2006-07-11,5,8070,5,0
2366,2006-07-11,5,8075,7,1
2376,2006-07-11,6,9244,2,0
2377,2006-07-11,6,9394,4,0
2394,2006-07-11,7,6079,2,0
2395,2006-07-11,7,6830,6,1
2396,2006-07-11,7,6871,1,0
2397,2006-07-11,7,7132,1,0
2398,2006-07-11,7,8070,17,1
2399,2006-07-11,7,8075,3,0
2400,2006-07-11,7,8362,4,0
2401,2006-07-11,7,8560,1,0
2402,2006-07-11,7,9156,6,1
2403,2006-07-11,7,9471,1,0
2417,2006-07-11,8,6079,1,0
2418,2006-07-11,8,6830,1,0
2419,2006-07-11,8,6871,1,0
2420,2006-07-11,8,7132,1,0
2421,2006-07-11,8,8070,4,0
2422,2006-07-11,8,9471,1,0
2437,2006-07-11,9,6432,23,1
2438,2006-07-11,9,6453,6,1
2439,2006-07-11,9,7018,4,0
2440,2006-07-11,9,7132,3,0
2441,2006-07-11,9,7342,2,0
2442,2006-07-11,9,7349,6,1
2443,2006-07-11,9,8070,3,0
2444,2006-07-11,9,8182,46,1
2486,2006-07-12,0,5617,1,0
2487,2006-07-12,0,6432,3,0
2488,2006-07-12,0,6461,1,0
2489,2006-07-12,0,6503,3,0
2490,2006-07-12,0,6678,1,0
2491,2006-07-12,0,6939,1,0
2492,2006-07-12,0,7015,1,0
2493,2006-07-12,0,7016,1,0
2494,2006-07-12,0,7132,1,0
2495,2006-07-12,0,7643,2,0
2496,2006-07-12,0,7738,1,0
2497,2006-07-12,0,8151,1,0
2498,2006-07-12,0,8167,1,0
2499,2006-07-12,0,8764,1,0
2500,2006-07-12,0,9121,2,0
2501,2006-07-12,0,9318,1,0
2502,2006-07-12,0,9800,1,0
2503,2006-07-12,0,9829,1,0
2536,2006-07-12,1,5089,1,0
2537,2006-07-12,1,6461,12,1
2538,2006-07-12,1,8075,41,1
2539,2006-07-12,1,9808,1,0
2560,2006-07-12,2,6478,13,1
2561,2006-07-12,2,7132,28,1
2562,2006-07-12,2,7377,94,1
2563,2006-07-12,2,8001,1,0
2564,2006-07-12,2,9506,469,1
2579,2006-07-12,3,9803,1,0
2580,2006-07-12,3,9808,1,0
2587,2006-07-12,4,7132,31,1
2600,2006-07-12,5,8070,7,1
2601,2006-07-12,5,8075,3,0
2611,2006-07-12,6,9394,5,0
2612,2006-07-12,6,9803,2,0
2613,2006-07-12,6,9808,1,0
2619,2006-07-12,7,7018,1,0
2620,2006-07-12,7,8070,2,0
2621,2006-07-12,7,8075,2,0
2622,2006-07-12,7,8560,2,0
2623,2006-07-12,7,8642,34,1
2624,2006-07-12,7,9156,3,0
2634,2006-07-12,8,8070,2,0
2643,2006-07-12,9,8070,5,0
2644,2006-07-12,9,8075,2,0
2666,2006-07-13,0,5430,1,0
2667,2006-07-13,0,5617,1,0
2668,2006-07-13,0,6432,3,0
2669,2006-07-13,0,6461,1,0
